year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,2,709,9,1006,-8,B6,N583JB,671,JFK,LAX,327,2475,7,9
2013,1,2,732,2,1105,5,AA,N322AA,33,JFK,LAX,351,2475,7,32
2013,1,2,822,-1,1142,-1,UA,N73259,1067,EWR,LAX,343,2454,8,22
2013,1,2,829,-1,1154,-6,UA,N525UA,572,JFK,LAX,340,2475,8,29
2013,1,2,855,-5,1225,5,AA,N336AA,1,JFK,LAX,336,2475,8,55
2013,1,2,857,-3,1130,-57,DL,N710TW,120,JFK,LAX,310,2475,8,57
2013,1,2,859,2,1205,-12,UA,N577UA,222,EWR,LAX,330,2454,8,59
2013,1,2,903,3,1218,-7,VX,N624VA,407,JFK,LAX,338,2475,9,3
2013,1,2,1004,19,1251,-7,B6,N706JB,679,JFK,LAX,326,2475,10,4
2013,1,2,1038,8,1347,7,AA,N328AA,19,JFK,LAX,344,2475,10,38
2013,1,2,1125,-5,1416,-32,UA,N510UA,703,JFK,LAX,332,2475,11,25
2013,1,2,1131,1,1436,-14,VX,N627VA,409,JFK,LAX,341,2475,11,31
2013,1,2,1156,-4,1509,-20,DL,N624AG,863,JFK,LAX,348,2475,11,56
2013,1,2,1204,4,1511,1,AA,N319AA,3,JFK,LAX,341,2475,12,4
2013,1,2,1216,-4,1520,-11,B6,N796JB,673,JFK,LAX,337,2475,12,16
2013,1,2,1318,-2,1634,-2,UA,N12125,1425,EWR,LAX,340,2454,13,18
2013,1,2,1326,-4,1650,-5,VX,N635VA,411,JFK,LAX,361,2475,13,26
2013,1,2,1341,-4,1648,-17,AA,N332AA,117,JFK,LAX,344,2475,13,41
2013,1,2,1500,0,1811,-26,DL,N718TW,1467,JFK,LAX,341,2475,15,0
2013,1,2,1519,3,1833,5,UA,N14107,1600,EWR,LAX,346,2454,15,19
2013,1,2,1525,-5,1832,-23,UA,N532UA,530,JFK,LAX,341,2475,15,25
2013,1,2,1627,-3,1927,-25,B6,N779JB,675,JFK,LAX,321,2475,16,27
2013,1,2,1655,0,1955,-35,VX,N841VA,413,JFK,LAX,330,2475,16,55
2013,1,2,1713,13,2007,7,UA,N597UA,342,EWR,LAX,332,2454,17,13
2013,1,2,1717,32,2033,28,AA,N338AA,181,JFK,LAX,335,2475,17,17
2013,1,2,1724,-1,2116,11,DL,N712TW,513,JFK,LAX,381,2475,17,24
2013,1,2,1746,-4,2043,-32,UA,N512UA,535,JFK,LAX,325,2475,17,46
2013,1,2,1806,5,2140,3,UA,N12116,1209,EWR,LAX,341,2454,18,6
2013,1,2,1848,28,2208,18,AA,N3DNAA,119,EWR,LAX,349,2454,18,48
2013,1,2,1856,-4,2250,12,DL,N703TW,87,JFK,LAX,371,2475,18,56
2013,1,2,1905,0,2216,-9,AA,N339AA,21,JFK,LAX,333,2475,19,5
2013,1,2,1958,-2,2303,-22,VX,N622VA,415,JFK,LAX,335,2475,19,58
2013,1,2,2037,13,2351,-8,UA,N26226,1595,EWR,LAX,345,2454,20,37
2013,1,2,2047,7,2329,-30,B6,N583JB,677,JFK,LAX,316,2475,20,47
2013,1,2,2100,0,36,5,DL,N711ZX,2363,JFK,LAX,367,2475,21,0
2013,1,2,2134,-1,36,-14,AA,N322AA,185,JFK,LAX,340,2475,21,34
2013,1,2,,,,,AA,      ,133,JFK,LAX,,2475,,
2013,1,3,616,17,913,-3,UA,N18119,1570,JFK,LAX,335,2475,6,16
2013,1,3,656,-4,959,-35,DL,N624AG,763,JFK,LAX,319,2475,6,56
2013,1,3,658,-2,938,-47,VX,N638VA,399,JFK,LAX,316,2475,6,58
2013,1,3,701,1,937,-37,B6,N624JB,671,JFK,LAX,313,2475,7,1
2013,1,3,704,-1,946,-32,UA,N573UA,604,EWR,LAX,307,2454,7,4
2013,1,3,730,0,1014,-46,AA,N336AA,33,JFK,LAX,313,2475,7,30
2013,1,3,825,-4,1120,-25,UA,N512UA,871,JFK,LAX,321,2475,8,25
2013,1,3,855,-5,1144,-36,AA,N327AA,1,JFK,LAX,323,2475,8,55
2013,1,3,855,-5,1157,-30,DL,N711ZX,120,JFK,LAX,327,2475,8,55
2013,1,3,858,-2,1155,-30,VX,N631VA,407,JFK,LAX,322,2475,8,58
2013,1,3,936,9,1221,-19,UA,N74856,1223,EWR,LAX,306,2454,9,36
2013,1,3,941,-4,1153,-65,B6,N789JB,679,JFK,LAX,297,2475,9,41
2013,1,3,1024,-6,1312,-28,AA,N323AA,19,JFK,LAX,322,2475,10,24
2013,1,3,1124,-6,1407,-43,VX,N621VA,409,JFK,LAX,320,2475,11,24
2013,1,3,1127,-3,1357,-48,UA,N510UA,703,JFK,LAX,305,2475,11,27
2013,1,3,1152,-8,1446,-24,AA,N328AA,3,JFK,LAX,325,2475,11,52
2013,1,3,1213,-7,1439,-52,B6,N766JB,673,JFK,LAX,308,2475,12,13
2013,1,3,1233,33,1534,5,DL,N727TW,863,JFK,LAX,324,2475,12,33
2013,1,3,1326,-4,1609,-46,VX,N624VA,411,JFK,LAX,320,2475,13,26
2013,1,3,1328,8,1557,-36,UA,N14121,1110,EWR,LAX,309,2454,13,28
2013,1,3,1340,-5,1652,-13,AA,N325AA,117,JFK,LAX,331,2475,13,40
2013,1,3,1454,-6,1759,-38,DL,N705TW,963,JFK,LAX,321,2475,14,54
2013,1,3,1525,19,1801,-18,UA,N18112,1452,EWR,LAX,303,2454,15,25
2013,1,3,1546,1,1851,-19,AA,N319AA,133,JFK,LAX,319,2475,15,46
2013,1,3,1547,7,1845,-15,UA,N12116,161,JFK,LAX,323,2475,15,47
2013,1,3,1626,-4,1853,-59,B6,N652JB,675,JFK,LAX,301,2475,16,26
2013,1,3,1659,-1,1954,-42,DL,N712TW,127,JFK,LAX,322,2475,16,59
2013,1,3,1720,35,2017,12,AA,N322AA,181,JFK,LAX,319,2475,17,20
2013,1,3,1721,26,2013,-17,VX,N641VA,413,JFK,LAX,321,2475,17,21
2013,1,3,1751,-2,2043,-22,UA,N532UA,535,JFK,LAX,320,2475,17,51
2013,1,3,1752,23,2014,-33,UA,N26226,1721,EWR,LAX,303,2454,17,52
2013,1,3,1819,-1,2108,-42,AA,N3DNAA,119,EWR,LAX,310,2454,18,19
2013,1,3,1830,0,2141,-7,UA,N35204,1030,EWR,LAX,313,2454,18,30
2013,1,3,1858,-2,2233,-5,DL,N711ZX,87,JFK,LAX,348,2475,18,58
2013,1,3,1909,4,2145,-40,AA,N338AA,21,JFK,LAX,293,2475,19,9
2013,1,3,2019,19,2303,-22,VX,N623VA,415,JFK,LAX,309,2475,20,19
2013,1,3,2023,-7,2308,-26,UA,N517UA,771,JFK,LAX,309,2475,20,23
2013,1,3,2101,21,2327,-32,B6,N590JB,677,JFK,LAX,301,2475,21,1
2013,1,3,2114,14,49,18,DL,N718TW,2363,JFK,LAX,347,2475,21,14
2013,1,3,2137,2,2358,-52,AA,N336AA,185,JFK,LAX,299,2475,21,37
2013,1,4,606,7,846,-30,UA,N19117,1669,JFK,LAX,307,2475,6,6
2013,1,4,700,0,941,-44,VX,N633VA,399,JFK,LAX,318,2475,7,0
2013,1,4,715,15,1013,-21,DL,N727TW,763,JFK,LAX,322,2475,7,15
2013,1,4,721,21,1001,-13,B6,N646JB,671,JFK,LAX,302,2475,7,21
2013,1,4,725,26,951,-21,UA,N586UA,441,EWR,LAX,309,2454,7,25
2013,1,4,728,-2,1024,-36,AA,N323AA,33,JFK,LAX,327,2475,7,28
2013,1,4,834,5,1134,-19,UA,N34137,112,JFK,LAX,321,2475,8,34
2013,1,4,856,-4,1215,-10,VX,N629VA,407,JFK,LAX,311,2475,8,56
2013,1,4,858,-2,1210,-10,AA,N328AA,1,JFK,LAX,327,2475,8,58
2013,1,4,858,-2,1215,-12,DL,N705TW,120,JFK,LAX,336,2475,8,58
2013,1,4,917,-3,1200,-33,UA,N75851,1223,EWR,LAX,310,2454,9,17
2013,1,4,1001,16,1232,-26,B6,N729JB,679,JFK,LAX,310,2475,10,1
2013,1,4,1028,-2,1342,2,AA,N327AA,19,JFK,LAX,334,2475,10,28
2013,1,4,1118,-12,1350,-55,UA,N512UA,703,JFK,LAX,309,2475,11,18
2013,1,4,1130,0,1413,-37,VX,N634VA,409,JFK,LAX,318,2475,11,30
2013,1,4,1154,-6,1451,-38,DL,N706TW,863,JFK,LAX,331,2475,11,54
2013,1,4,1157,-3,1447,-23,AA,N322AA,3,JFK,LAX,327,2475,11,57
2013,1,4,1220,0,1457,-34,B6,N807JB,673,JFK,LAX,312,2475,12,20
2013,1,4,1321,1,1556,-37,UA,N57857,1110,EWR,LAX,314,2454,13,21
2013,1,4,1328,-2,1621,-34,VX,N631VA,411,JFK,LAX,333,2475,13,28
2013,1,4,1340,-5,1632,-33,AA,N319AA,117,JFK,LAX,325,2475,13,40
2013,1,4,1457,-3,1824,-13,DL,N710TW,963,JFK,LAX,337,2475,14,57
2013,1,4,1524,18,1814,-5,UA,N17122,1452,EWR,LAX,320,2454,15,24
2013,1,4,1547,7,1840,-20,UA,N18112,161,JFK,LAX,324,2475,15,47
2013,1,4,1628,-2,1900,-52,B6,N641JB,675,JFK,LAX,316,2475,16,28
2013,1,4,1644,-1,1929,-36,AA,N336AA,181,JFK,LAX,326,2475,16,44
2013,1,4,1655,-5,2004,-32,DL,N718TW,127,JFK,LAX,334,2475,16,55
2013,1,4,1703,78,2001,51,AA,N325AA,133,JFK,LAX,328,2475,17,3
2013,1,4,1708,0,1945,-39,UA,N845UA,250,EWR,LAX,311,2454,17,8
2013,1,4,1714,19,2010,-20,VX,N628VA,413,JFK,LAX,326,2475,17,14
2013,1,4,1756,3,2037,-28,UA,N517UA,535,JFK,LAX,317,2475,17,56
2013,1,4,1819,-1,2111,-39,AA,N3FAAA,119,EWR,LAX,314,2454,18,19
2013,1,4,1830,0,2129,-19,UA,N26208,1139,EWR,LAX,305,2454,18,30
2013,1,4,1859,-1,2200,-38,DL,N705TW,87,JFK,LAX,328,2475,18,59
2013,1,4,1946,41,2226,1,AA,N338AA,21,JFK,LAX,312,2475,19,46
2013,1,4,2017,17,2317,-8,VX,N625VA,415,JFK,LAX,333,2475,20,17
2013,1,4,2019,-11,2254,-40,UA,N557UA,771,JFK,LAX,312,2475,20,19
2013,1,4,2046,6,2342,-17,B6,N796JB,677,JFK,LAX,320,2475,20,46
2013,1,4,2059,-1,2349,-42,DL,N727TW,2363,JFK,LAX,318,2475,20,59
2013,1,4,2130,-5,5,-45,AA,N323AA,185,JFK,LAX,315,2475,21,30
2013,1,5,557,-4,858,-23,UA,N34137,1030,JFK,LAX,333,2475,5,57
2013,1,5,700,0,1014,-11,VX,N641VA,399,JFK,LAX,346,2475,7,0
2013,1,5,710,0,1017,-14,UA,N37281,1665,EWR,LAX,336,2454,7,10
2013,1,5,836,6,1200,6,UA,N12116,112,JFK,LAX,346,2475,8,36
2013,1,5,851,-9,1206,-14,AA,N328AA,1,JFK,LAX,343,2475,8,51
2013,1,5,857,-3,1225,-2,DL,N705TW,120,JFK,LAX,344,2475,8,57
2013,1,5,857,-3,1225,0,VX,N638VA,407,JFK,LAX,347,2475,8,57
2013,1,5,939,19,1255,22,UA,N57864,1594,EWR,LAX,332,2454,9,39
2013,1,5,943,-2,1243,-15,B6,N590JB,679,JFK,LAX,343,2475,9,43
2013,1,5,1031,1,1341,1,AA,N322AA,19,JFK,LAX,348,2475,10,31
2013,1,5,1128,-2,1434,-11,UA,N532UA,362,JFK,LAX,347,2475,11,28
2013,1,5,1142,12,1455,5,VX,N629VA,409,JFK,LAX,348,2475,11,42
2013,1,5,1151,-9,1456,-33,DL,N702TW,863,JFK,LAX,344,2475,11,51
2013,1,5,1220,0,1530,-1,B6,N593JB,673,JFK,LAX,341,2475,12,20
2013,1,5,1308,68,1621,71,AA,N329AA,3,JFK,LAX,346,2475,13,8
2013,1,5,1311,-4,1610,-13,UA,N17133,1181,EWR,LAX,335,2454,13,11
2013,1,5,1333,3,1644,-11,VX,N634VA,411,JFK,LAX,352,2475,13,33
2013,1,5,1346,1,1655,-10,AA,N336AA,117,JFK,LAX,350,2475,13,46
2013,1,5,1535,-5,1854,-6,UA,N517UA,243,JFK,LAX,349,2475,15,35
2013,1,5,1539,-6,1854,-16,AA,N332AA,133,JFK,LAX,340,2475,15,39
2013,1,5,1544,44,1916,39,DL,N703TW,963,JFK,LAX,335,2475,15,44
2013,1,5,1616,77,1920,68,UA,N14118,1600,EWR,LAX,344,2454,16,16
2013,1,5,1631,1,1928,-24,B6,N807JB,675,JFK,LAX,335,2475,16,31
2013,1,5,1641,-4,1937,-28,AA,N323AA,181,JFK,LAX,335,2475,16,41
2013,1,5,1653,-2,1950,-20,UA,N427UA,250,EWR,LAX,332,2454,16,53
2013,1,5,1704,9,2019,-11,VX,N626VA,413,JFK,LAX,348,2475,17,4
2013,1,5,1719,14,2028,-12,DL,N711ZX,127,JFK,LAX,342,2475,17,19
2013,1,5,1815,-5,2152,2,AA,N3HYAA,119,EWR,LAX,340,2454,18,15
2013,1,5,1816,4,2119,-18,UA,N814UA,669,EWR,LAX,327,2454,18,16
2013,1,5,1857,-3,2218,-2,UA,N557UA,808,JFK,LAX,344,2475,18,57
2013,1,5,1900,0,2212,-23,DL,N727TW,87,JFK,LAX,351,2475,19,0
2013,1,5,1903,-2,2221,-4,AA,N335AA,21,JFK,LAX,350,2475,19,3
2013,1,5,2008,8,2330,5,VX,N635VA,415,JFK,LAX,353,2475,20,8
2013,1,5,2045,5,2342,-17,B6,N652JB,677,JFK,LAX,339,2475,20,45
2013,1,5,2146,11,100,10,AA,N320AA,185,JFK,LAX,346,2475,21,46
2013,1,6,607,7,908,-19,UA,N75429,1737,EWR,LAX,333,2454,6,7
2013,1,6,656,-4,1001,-13,B6,N804JB,671,JFK,LAX,337,2475,6,56
2013,1,6,656,-4,958,-27,VX,N626VA,399,JFK,LAX,338,2475,6,56
2013,1,6,730,0,1053,-7,AA,N329AA,33,JFK,LAX,354,2475,7,30
2013,1,6,838,8,1159,5,UA,N12116,112,JFK,LAX,332,2475,8,38
2013,1,6,858,-2,1210,-17,DL,N702TW,120,JFK,LAX,323,2475,8,58
2013,1,6,858,-2,1227,2,VX,N632VA,407,JFK,LAX,348,2475,8,58
2013,1,6,905,5,1234,14,AA,N327AA,1,JFK,LAX,344,2475,9,5
2013,1,6,954,9,1259,1,B6,N583JB,679,JFK,LAX,343,2475,9,54
2013,1,6,1027,-3,1335,-5,AA,N328AA,19,JFK,LAX,344,2475,10,27
2013,1,6,1129,-1,1435,-2,UA,N554UA,703,JFK,LAX,346,2475,11,29
2013,1,6,1131,1,1438,-12,VX,N638VA,409,JFK,LAX,342,2475,11,31
2013,1,6,1153,-7,1500,-29,DL,N711ZX,863,JFK,LAX,337,2475,11,53
2013,1,6,1158,-2,1503,-7,AA,N324AA,3,JFK,LAX,344,2475,11,58
2013,1,6,1215,-5,1518,-13,B6,N641JB,673,JFK,LAX,343,2475,12,15
2013,1,6,1242,202,1527,174,UA,N74856,1142,EWR,LAX,324,2454,12,42
2013,1,6,1327,-3,1634,-21,VX,N621VA,411,JFK,LAX,347,2475,13,27
2013,1,6,1330,15,1634,11,UA,N14115,1272,EWR,LAX,330,2454,13,30
2013,1,6,1342,-3,1704,-1,AA,N322AA,117,JFK,LAX,342,2475,13,42
2013,1,6,1500,0,1834,-3,DL,N717TW,963,JFK,LAX,345,2475,15,0
2013,1,6,1513,7,1811,-8,UA,N17128,1285,EWR,LAX,335,2454,15,13
2013,1,6,1530,0,1844,-10,UA,N14102,161,JFK,LAX,328,2475,15,30
2013,1,6,1544,-1,1851,-19,AA,N338AA,133,JFK,LAX,332,2475,15,44
2013,1,6,1631,1,1936,-16,B6,N648JB,675,JFK,LAX,332,2475,16,31
2013,1,6,1643,-2,1952,-13,AA,N320AA,181,JFK,LAX,338,2475,16,43
2013,1,6,1653,-2,1955,-35,VX,N640VA,413,JFK,LAX,339,2475,16,53
2013,1,6,1657,-3,2025,-11,DL,N703TW,127,JFK,LAX,349,2475,16,57
2013,1,6,1746,-5,2041,-22,UA,N557UA,535,JFK,LAX,334,2475,17,46
2013,1,6,1813,-7,2118,-32,AA,N3BKAA,119,EWR,LAX,326,2454,18,13
2013,1,6,1817,75,2121,61,UA,N27205,1222,EWR,LAX,327,2454,18,17
2013,1,6,1822,7,2210,36,UA,N12221,1165,EWR,LAX,330,2454,18,22
2013,1,6,1856,-9,2207,-18,AA,N339AA,21,JFK,LAX,320,2475,18,56
2013,1,6,1858,-2,2219,-19,DL,N702TW,87,JFK,LAX,332,2475,18,58
2013,1,6,2011,11,2309,-16,VX,N624VA,415,JFK,LAX,336,2475,20,11
2013,1,6,2021,-4,2253,-36,UA,N512UA,771,JFK,LAX,305,2475,20,21
2013,1,6,2036,-4,2337,-20,B6,N807JB,677,JFK,LAX,332,2475,20,36
2013,1,6,2053,-7,18,-13,DL,N718TW,2363,JFK,LAX,335,2475,20,53
2013,1,6,2141,6,50,0,AA,N329AA,185,JFK,LAX,343,2475,21,41
2013,1,7,620,19,902,-16,UA,N57857,1030,JFK,LAX,319,2475,6,20
2013,1,7,652,-8,934,-51,VX,N640VA,399,JFK,LAX,321,2475,6,52
2013,1,7,658,-2,945,-49,DL,N711ZX,763,JFK,LAX,311,2475,6,58
2013,1,7,702,-3,951,-27,UA,N595UA,604,EWR,LAX,314,2454,7,2
2013,1,7,704,4,944,-43,B6,N652JB,671,JFK,LAX,313,2475,7,4
2013,1,7,724,-6,1008,-52,AA,N328AA,33,JFK,LAX,312,2475,7,24
2013,1,7,856,-4,1144,-41,VX,N837VA,407,JFK,LAX,324,2475,8,56
2013,1,7,858,-2,1204,-23,DL,N717TW,120,JFK,LAX,327,2475,8,58
2013,1,7,904,4,1203,-17,AA,N335AA,1,JFK,LAX,316,2475,9,4
2013,1,7,921,1,1200,-33,UA,N78866,1223,EWR,LAX,307,2454,9,21
2013,1,7,1123,-2,1359,-40,B6,N768JB,673,JFK,LAX,312,2475,11,23
2013,1,7,1123,-7,1405,-40,UA,N508UA,703,JFK,LAX,320,2475,11,23
2013,1,7,1132,2,1423,-27,VX,N845VA,409,JFK,LAX,319,2475,11,32
2013,1,7,1153,-7,1425,-45,AA,N336AA,3,JFK,LAX,306,2475,11,53
2013,1,7,1157,87,1458,78,AA,N327AA,19,JFK,LAX,335,2475,11,57
2013,1,7,1159,-1,1450,-39,DL,N706TW,863,JFK,LAX,329,2475,11,59
2013,1,7,1317,-3,1608,-25,UA,N13138,1110,EWR,LAX,321,2454,13,17
2013,1,7,1323,293,1604,250,UA,N12116,112,JFK,LAX,311,2475,13,23
2013,1,7,1329,-1,1622,-33,VX,N848VA,411,JFK,LAX,326,2475,13,29
2013,1,7,1344,-1,1648,-17,AA,N332AA,117,JFK,LAX,337,2475,13,44
2013,1,7,1454,-6,1822,-15,DL,N712TW,963,JFK,LAX,328,2475,14,54
2013,1,7,1502,-4,1747,-32,UA,N12125,1600,EWR,LAX,316,2454,15,2
2013,1,7,1545,0,1830,-40,AA,N338AA,133,JFK,LAX,322,2475,15,45
2013,1,7,1547,7,1859,-1,UA,N14102,161,JFK,LAX,328,2475,15,47
2013,1,7,1623,-2,1900,-54,B6,N807JB,675,JFK,LAX,320,2475,16,23
2013,1,7,1650,5,1940,-25,AA,N329AA,181,JFK,LAX,322,2475,16,50
2013,1,7,1657,-3,2003,-33,DL,N718TW,127,JFK,LAX,328,2475,16,57
2013,1,7,1728,33,2042,12,VX,N641VA,413,JFK,LAX,330,2475,17,28
2013,1,7,1750,-3,2057,-8,UA,N512UA,535,JFK,LAX,330,2475,17,50
2013,1,7,1821,1,2136,-14,AA,N3JUAA,119,EWR,LAX,327,2454,18,21
2013,1,7,1827,62,2117,36,UA,N843UA,250,EWR,LAX,314,2454,18,27
2013,1,7,1833,4,2154,7,UA,N18223,1165,EWR,LAX,328,2454,18,33
2013,1,7,1900,-5,2133,-52,AA,N339AA,21,JFK,LAX,310,2475,19,0
2013,1,7,1922,22,2222,-16,DL,N717TW,87,JFK,LAX,332,2475,19,22
2013,1,7,1959,-1,2310,-15,VX,N621VA,415,JFK,LAX,323,2475,19,59
2013,1,7,2022,-3,2250,-39,UA,N555UA,771,JFK,LAX,309,2475,20,22
2013,1,7,2040,0,2334,-23,B6,N652JB,677,JFK,LAX,321,2475,20,40
2013,1,7,2058,-2,2350,-41,DL,N704X ,2363,JFK,LAX,313,2475,20,58
2013,1,7,2134,-1,19,-31,AA,N328AA,185,JFK,LAX,323,2475,21,34
2013,1,8,558,-3,850,-28,UA,N12116,1030,JFK,LAX,324,2475,5,58
2013,1,8,659,-1,1011,-23,DL,N718TW,763,JFK,LAX,340,2475,6,59
2013,1,8,659,-6,948,-30,UA,N575UA,604,EWR,LAX,323,2454,6,59
2013,1,8,703,3,1003,-24,B6,N768JB,671,JFK,LAX,326,2475,7,3
2013,1,8,711,6,1007,-28,VX,N837VA,399,JFK,LAX,334,2475,7,11
2013,1,8,729,-1,1036,-24,AA,N335AA,33,JFK,LAX,330,2475,7,29
2013,1,8,837,7,1141,-13,UA,N14107,112,JFK,LAX,320,2475,8,37
2013,1,8,853,-7,1209,-11,AA,N323AA,1,JFK,LAX,341,2475,8,53
2013,1,8,900,0,1223,-4,DL,N713TW,120,JFK,LAX,343,2475,9,0
2013,1,8,905,5,1206,-24,VX,N626VA,407,JFK,LAX,335,2475,9,5
2013,1,8,945,25,1237,4,UA,N558UA,405,EWR,LAX,323,2454,9,45
2013,1,8,1128,3,1414,-25,B6,N636JB,673,JFK,LAX,331,2475,11,28
2013,1,8,1130,0,1437,-18,VX,N641VA,409,JFK,LAX,341,2475,11,30
2013,1,8,1138,68,1428,48,AA,N319AA,19,JFK,LAX,330,2475,11,38
2013,1,8,1145,15,1449,4,UA,N512UA,703,JFK,LAX,341,2475,11,45
2013,1,8,1154,-6,1451,-19,AA,N320AA,3,JFK,LAX,334,2475,11,54
2013,1,8,1158,-2,1522,-7,DL,N624AG,863,JFK,LAX,333,2475,11,58
2013,1,8,1325,5,1633,-17,VX,N629VA,411,JFK,LAX,343,2475,13,25
2013,1,8,1326,6,1635,2,UA,N17139,1004,EWR,LAX,345,2454,13,26
2013,1,8,1338,-7,1652,-13,AA,N325AA,117,JFK,LAX,347,2475,13,38
2013,1,8,1456,-4,1828,-9,DL,N711ZX,963,JFK,LAX,342,2475,14,56
2013,1,8,1513,14,1819,7,UA,N33103,1600,EWR,LAX,340,2454,15,13
2013,1,8,1546,1,1851,-19,AA,N324AA,133,JFK,LAX,341,2475,15,46
2013,1,8,1548,8,1842,-18,UA,N12125,161,JFK,LAX,331,2475,15,48
2013,1,8,1626,1,1920,-34,B6,N809JB,675,JFK,LAX,336,2475,16,26
2013,1,8,1700,0,2038,2,DL,N704X ,127,JFK,LAX,338,2475,17,0
2013,1,8,1700,1,1956,-19,UA,N846UA,250,EWR,LAX,327,2454,17,0
2013,1,8,1716,31,2018,13,AA,N336AA,181,JFK,LAX,342,2475,17,16
2013,1,8,1733,38,2042,7,VX,N627VA,413,JFK,LAX,345,2475,17,33
2013,1,8,1752,-1,2105,0,UA,N555UA,535,JFK,LAX,349,2475,17,52
2013,1,8,1819,-1,2126,-24,AA,N3HXAA,119,EWR,LAX,342,2454,18,19
2013,1,8,1830,0,2149,1,UA,N27239,1165,EWR,LAX,325,2454,18,30
2013,1,8,1858,-2,2223,-15,DL,N722TW,87,JFK,LAX,345,2475,18,58
2013,1,8,1859,-6,2158,-27,AA,N322AA,21,JFK,LAX,337,2475,18,59
2013,1,8,2009,9,2334,5,VX,N638VA,415,JFK,LAX,362,2475,20,9
2013,1,8,2020,-5,2338,9,UA,N510UA,771,JFK,LAX,351,2475,20,20
